!CSV A.01.01
!Keysight Technologies,N5247B,MY58422921,A.14.80.08
!Date: Wednesday, April 12, 2023 00:56:39
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(DB),S21(DEG)
57100000000,-8.7444983,151.60352
57160000000,-8.9504757,26.6455
57220000000,-9.2695198,-100.40926
57280000000,-9.1984282,135.49564
57340000000,-8.5980139,9.3754168
57400000000,-8.2055407,-121.97229
57460000000,-8.6121588,108.61867
57520000000,-8.7878513,-20.53207
57580000000,-9.3862,-144.35286
57640000000,-8.9172974,88.312897
57700000000,-9.6771107,-39.326988
57760000000,-9.1211624,-161.00963
57820000000,-8.7302961,71.300369
57880000000,-8.0094357,-58.246803
57940000000,-8.2793264,169.71356
58000000000,-8.8151283,40.355438
58060000000,-9.0528822,-84.723701
58120000000,-9.3674173,147.81145
58180000000,-9.2124348,23.249731
58240000000,-9.1156826,-106.77431
58300000000,-9.6281824,128.50356
58360000000,-9.3140345,2.9503198
58420000000,-9.2641802,-124.61728
58480000000,-9.1438246,109.26487
58540000000,-8.9442005,-19.232513
58600000000,-8.8827839,-147.09727
58660000000,-8.7167988,83.623695
58720000000,-9.0479927,-45.839561
58780000000,-9.0894575,-172.28735
58840000000,-9.2060242,60.599476
58900000000,-9.3970995,-68.92791
58960000000,-9.4663363,165.68842
59020000000,-9.8457479,38.073105
59080000000,-9.3996735,-89.093216
59140000000,-10.378011,141.3763
59200000000,-10.072094,22.81057
59260000000,-9.5916882,-106.19942
59320000000,-9.1254883,127.72684
59380000000,-8.8440161,-4.5617337
59440000000,-9.2322054,-134.11131
59500000000,-9.508811,99.779831
59560000000,-9.3602066,-27.241121
59620000000,-9.1691666,-155.41318
59680000000,-9.4411259,74.608841
59740000000,-9.960824,-51.793861
59800000000,-9.6438303,-175.5054
59860000000,-9.6919689,55.136681
59920000000,-9.6047573,-71.200729
59980000000,-9.7435122,161.88937
60040000000,-9.4379463,36.830715
60100000000,-8.9820337,-92.342598
60160000000,-9.0097685,136.15408
60220000000,-9.3945189,7.0685062
60280000000,-10.022814,-120.70515
60340000000,-10.339453,116.82625
60400000000,-9.8374748,-9.4507465
60460000000,-10.021079,-137.65479
60520000000,-9.892498,96.725647
60580000000,-9.7037601,-29.66872
60640000000,-9.2109499,-159.71545
60700000000,-9.4292984,70.357811
60760000000,-9.7915936,-57.831642
60820000000,-10.043126,175.17401
60880000000,-10.143026,48.46352
60940000000,-10.179712,-78.403633
61000000000,-10.10598,154.36478
61060000000,-10.29037,25.941486
61120000000,-10.132337,-99.55761
61180000000,-10.317553,132.41148
61240000000,-9.9904385,6.7909479
61300000000,-9.7001991,-121.84082
61360000000,-9.8194437,107.73822
61420000000,-10.203398,-19.561388
61480000000,-10.637978,-144.95901
61540000000,-10.166574,91.460014
61600000000,-9.9139042,-38.13596
61660000000,-9.8397255,-166.52502
61720000000,-10.049901,62.871994
61780000000,-10.363183,-61.275391
61840000000,-10.049358,169.1377
61900000000,-10.471334,41.250454
61960000000,-10.582855,-84.413559
62020000000,-10.565149,149.93994
62080000000,-9.9509878,22.129835
62140000000,-9.9919224,-110.28308
62200000000,-10.771752,119.75839
62260000000,-11.217389,-7.4133339
62320000000,-12.258558,-132.63167
62380000000,-11.92018,105.00288
62440000000,-12.33423,-21.917559
62500000000,-11.629403,-145.82863
62560000000,-11.956402,83.303963
62620000000,-11.683636,-39.927017
62680000000,-12.076521,-172.96486
62740000000,-12.544024,65.043167
62800000000,-12.594113,-61.02615
62860000000,-12.298644,174.38498
62920000000,-12.297046,45.360687
62980000000,-12.281333,-82.112396
63040000000,-12.714653,150.39037
63100000000,-12.911466,23.565439
63160000000,-13.517344,-99.293861
63220000000,-12.970075,139.18636
63280000000,-12.385731,14.436871
63340000000,-11.513543,-114.22433
63400000000,-11.143914,115.63655
